"Admin2","year","PR","LCI","UCI","source","sd_low","sd_high","sd"
"N'dali",2005,64.8574436183283,21.2576425585686,94.5146851575861,"MAP shared by Punam",22.2447964590611,15.1312456832948,22.2447964590611
"N'dali",2006,65.4068267456662,20.698909278989,94.6020662528267,"MAP shared by Punam",22.8101619727944,14.8955303607962,22.8101619727944
"N'dali",2007,62.7642249096783,22.0532680732998,92.0836378046381,"MAP shared by Punam",20.770896345091,14.9588841300815,20.770896345091
"N'dali",2008,57.2124230949531,24.7929090075854,85.7771138134796,"MAP shared by Punam",16.5405684119223,14.5738217951665,16.5405684119223
"N'dali",2009,50.4232323244101,24.4881174897365,77.0718929282792,"MAP shared by Punam",13.2322014462621,13.5962554101373,13.5962554101373
"N'dali",2010,45.3034686248287,23.6612476295015,69.6178808593302,"MAP shared by Punam",11.0419494874118,12.4053123645416,12.4053123645416
"N'dali",2011,42.2484611929497,26.6880970712159,59.8055992417322,"MAP shared by Punam",7.93896128659884,8.95772349427679,8.95772349427679
"N'dali",2012,43.9114148409003,34.9010739890751,53.6760531264004,"MAP shared by Punam",4.59711267950269,4.98195830892859,4.98195830892859
"N'dali",2013,48.8132528012557,32.9599918964909,66.3045189821234,"MAP shared by Punam",8.08839842079835,8.9241153984019,8.9241153984019
"N'dali",2014,51.8697326069226,30.0678070094188,73.3267087863363,"MAP shared by Punam",11.1234314272979,10.9474368262315,11.1234314272979
"N'dali",2015,54.794633839831,32.9287197627583,74.3715169259549,"MAP shared by Punam",11.1560786107514,9.98820565618565,11.1560786107514
"N'dali",2016,55.1364232283674,39.5086546297458,68.2264898141401,"MAP shared by Punam",7.97335132582735,6.67860540090443,7.97335132582735
"N'dali",2017,48.8712822280635,40.0264525016116,57.7383384680344,"MAP shared by Punam",4.5126682277816,4.52400828569944,4.52400828569944
"N'dali",2018,43.9497388122539,33.5359629424252,54.4587433265484,"MAP shared by Punam",5.31315095399419,5.36173699708907,5.36173699708907
"N'dali",2019,41.8503841919416,28.3605787603636,56.872301744589,"MAP shared by Punam",6.88255379162141,7.6642436493099,7.6642436493099
"Ouesse",2000,53.0811207872911,15.8139114570403,84.7566293705071,"MAP shared by Punam",19.0138823113525,16.1609737669469,19.0138823113525
"Ouesse",2001,55.9097129720369,16.7969395931393,86.018221474569,"MAP shared by Punam",19.9554966218865,15.3614839298633,19.9554966218865
"Ouesse",2002,60.0888735085422,17.6461509520643,89.3716580963422,"MAP shared by Punam",21.6544502839173,14.9401962182653,21.6544502839173
"Ouesse",2003,64.8982088316261,25.5617759387884,91.3764460729845,"MAP shared by Punam",20.0696086187948,13.5093047149788,20.0696086187948
"Ouesse",2004,69.4231171077786,36.7784540140825,94.0313917362346,"MAP shared by Punam",16.6554403539266,12.5552421573755,16.6554403539266
"Ouesse",2005,72.1337718278129,34.9061024983752,94.7258593983612,"MAP shared by Punam",18.9937088415499,11.5265752910961,18.9937088415499
"Ouesse",2006,70.6546865250622,30.7161457575321,93.6642802932842,"MAP shared by Punam",20.376806514046,11.7395886572561,20.376806514046
"Ouesse",2007,64.3481951541599,26.1488182100614,89.2706838821568,"MAP shared by Punam",19.4894780327033,12.7155554734679,19.4894780327033
"Ouesse",2008,51.9612073073081,22.4821466660466,77.4299679593425,"MAP shared by Punam",15.0403370618681,12.994265638793,15.0403370618681
"Ouesse",2009,38.9163105168931,18.0224841494655,60.1999681830279,"MAP shared by Punam",10.6601154935855,10.8590090133341,10.8590090133341
"Ouesse",2010,31.6901070134891,16.7334471366644,48.8267599658024,"MAP shared by Punam",7.63094891674731,8.74319028179248,8.74319028179248
"Ouesse",2011,28.6058457419136,18.0622478283882,40.5405700680811,"MAP shared by Punam",5.37938669057421,6.08914506437113,6.08914506437113
"Ouesse",2012,31.4381123339978,23.7646981086616,40.1412471157284,"MAP shared by Punam",3.91500725782459,4.44037488863803,4.44037488863803
"Ouesse",2013,38.7832252778688,25.567517200789,50.9574475326506,"MAP shared by Punam",6.74270820259173,6.21133788509278,6.74270820259173
"Ouesse",2014,45.1074155293375,27.0402783355632,62.9398511313678,"MAP shared by Punam",9.21792713968079,9.09818142960732,9.21792713968079
"Ouesse",2015,51.6667460641661,33.4965730755988,70.0892833677193,"MAP shared by Punam",9.2704964227384,9.39925372630267,9.39925372630267
"Ouesse",2016,56.2119687517638,43.4073795833086,71.528001212919,"MAP shared by Punam",6.5329536573751,7.81430227609958,7.81430227609958
"Ouesse",2017,52.4759261992545,42.7919838409302,65.0215587235216,"MAP shared by Punam",4.9407869175124,6.40083292054443,6.40083292054443
"Ouesse",2018,48.6018372772192,35.5412225041138,61.7291574475049,"MAP shared by Punam",6.66357896587009,6.6976123317784,6.6976123317784
"Ouesse",2019,47.3478300803187,31.045826186261,63.5960112815983,"MAP shared by Punam",8.31734892553962,8.28988836799981,8.31734892553962
"Sinende",2000,46.2369031696721,10.8695188132066,84.351706500858,"MAP shared by Punam",18.0445838553396,19.4463282301969,19.4463282301969
"Sinende",2001,48.1652704817013,8.87562324713244,88.7162132911108,"MAP shared by Punam",20.0457383849841,20.689256535413,20.689256535413
"Sinende",2002,51.5249757113081,7.74501375174802,91.4842523900179,"MAP shared by Punam",22.3367152854898,20.3873860605662,22.3367152854898
"Sinende",2003,54.9970299666843,11.5777040821223,92.5871149000192,"MAP shared by Punam",22.1527172880418,19.1786147619055,22.1527172880418
"Sinende",2004,58.8236904025129,14.5640040420898,92.5607545077253,"MAP shared by Punam",22.5814726328689,17.2127878087819,22.5814726328689
"Sinende",2005,61.7465838868318,20.7689821086364,93.0109511373662,"MAP shared by Punam",20.9069396827528,15.9512077808849,20.9069396827528
"Sinende",2006,63.2792517125899,21.2351849967898,94.4984760826534,"MAP shared by Punam",21.4510544468368,15.928175699012,21.4510544468368
"Sinende",2007,61.912075234378,22.6840126716369,93.5863313418541,"MAP shared by Punam",20.0143176340516,16.1603347487123,20.0143176340516
"Sinende",2008,58.7637288729291,25.8048226300295,88.5940183090778,"MAP shared by Punam",16.8157684912753,15.2195354266065,16.8157684912753
"Sinende",2009,54.0382934426646,27.9569511607196,81.4917589689694,"MAP shared by Punam",13.3068072867067,14.0068701664821,14.0068701664821
"Sinende",2010,48.9696843767418,27.3027121760385,72.0875771887336,"MAP shared by Punam",11.0545776534201,11.7948432714244,11.7948432714244
"Sinende",2011,43.9894102477795,28.5923213476424,61.3483963317463,"MAP shared by Punam",7.85565760211076,8.85662555304429,8.85662555304429
"Sinende",2012,41.7248414313074,31.0236027640446,53.6415577946372,"MAP shared by Punam",5.45981564656265,6.07995732822947,6.07995732822947
"Sinende",2013,41.8759583368345,25.2648727568713,65.0234618237275,"MAP shared by Punam",8.47504366324652,11.8099507586189,11.8099507586189
"Sinende",2014,42.1329459294296,22.120189968629,70.9651130555452,"MAP shared by Punam",10.2105897759187,14.710289350059,14.710289350059
"Sinende",2015,43.5926617073269,24.6448151139193,70.3491166440443,"MAP shared by Punam",9.66726867010594,13.6512525187334,13.6512525187334
"Sinende",2016,44.2420276887285,29.1606535090697,62.2242324030893,"MAP shared by Punam",7.69457866309127,9.17459424202078,9.17459424202078
"Sinende",2017,39.2704523900429,27.5112543792171,51.4162920371596,"MAP shared by Punam",5.99959082184986,6.19685696281468,6.19685696281468
"Sinende",2018,36.5661008972853,21.9620312416261,48.84627737404,"MAP shared by Punam",7.45105594676493,6.26539616160952,7.45105594676493
"Sinende",2019,35.6166040037198,18.6694554156765,54.1898135932783,"MAP shared by Punam",8.64650438165475,9.47612734161148,9.47612734161148
"Banikoara",2000,38.167159133477,7.84301657905946,75.1646371328197,"MAP shared by Punam",15.4715013032742,18.8762642853789,18.8762642853789
"Banikoara",2001,39.699525183299,6.09484208594779,79.2755906958503,"MAP shared by Punam",17.1452464782404,20.1918701594649,20.1918701594649
"Banikoara",2002,42.1363640496162,5.15365160416272,82.544045018221,"MAP shared by Punam",18.8687308395171,20.6161637594923,20.6161637594923
"Banikoara",2003,45.2378139420721,6.56856826594677,84.2549916239424,"MAP shared by Punam",19.729206977615,19.9067233070767,19.9067233070767
"Banikoara",2004,49.020557802239,8.40484072206844,90.5056961672068,"MAP shared by Punam",20.7223046327401,21.165886920902,21.165886920902
"Banikoara",2005,52.7643675041666,10.1363620110384,90.5719781446441,"MAP shared by Punam",21.7489823944531,19.2895972655498,21.7489823944531
"Banikoara",2006,56.2603125933331,9.35657871948216,94.6615857202155,"MAP shared by Punam",23.9304764662505,19.5924862892257,23.9304764662505
"Banikoara",2007,58.6732467600761,12.0294807490642,94.4676345578129,"MAP shared by Punam",23.7978398015367,18.2624427539473,23.7978398015367
"Banikoara",2008,61.5473414093287,19.3810010467578,92.6603069699206,"MAP shared by Punam",21.5134389604954,15.8739620207102,21.5134389604954
"Banikoara",2009,63.3453633397918,27.0140140760737,90.022602214753,"MAP shared by Punam",18.5364026855704,13.6108361606945,18.5364026855704
"Banikoara",2010,62.7282048299683,32.7456050058519,84.8870134865581,"MAP shared by Punam",15.2972448082227,11.3055146207091,15.2972448082227
"Banikoara",2011,58.9877217498777,37.076470718111,77.930248849121,"MAP shared by Punam",11.1792097100851,9.66455464247107,11.1792097100851
"Banikoara",2012,54.478689766987,39.6408196894958,69.5382573493552,"MAP shared by Punam",7.57034187627098,7.68345284814708,7.68345284814708
"Banikoara",2013,50.6374125581266,32.3434929527881,70.7381878840265,"MAP shared by Punam",9.33363245170334,10.255497615255,10.255497615255
"Banikoara",2014,48.4148695329648,26.4359585939343,72.5494242259101,"MAP shared by Punam",11.2137300709339,12.3135483127272,12.3135483127272
