"Admin1","EffCov14d2000","EffCov14d2001","EffCov14d2002","EffCov14d2003","EffCov14d2004","EffCov14d2005","EffCov14d2006","EffCov14d2007","EffCov14d2008","EffCov14d2009","EffCov14d2010","EffCov14d2011","EffCov14d2012","EffCov14d2013","EffCov14d2014","EffCov14d2015","EffCov14d2016","EffCov14d2017","EffCov14d2018","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","histITNcovMAP2000","histITNcovMAP2001","histITNcovMAP2002","histITNcovMAP2003","histITNcovMAP2004","histITNcovMAP2005","histITNcovMAP2006","histITNcovMAP2007","histITNcovMAP2008","histITNcovMAP2009","histITNcovMAP2010","histITNcovMAP2011","histITNcovMAP2012","histITNcovMAP2013","histITNcovMAP2014","histITNcovMAP2015","histITNcovMAP2016","histITNcovMAP2017","histITNcovMAP2018","histITNcovMAP2019","histITNcovsurveys2011","histITNcovsurveys2015","histITNcovsurveys2017","histITNcovsurveys2012","histITNcovsurveys2013","histITNcovsurveys2014","histITNcovsurveys2018","histITNcovsurveys2019","histITNcovsurveys2016","setting","histIRScovBendiocarb2008","histIRScovBendiocarb2009","histIRScovBendiocarb2010","histIRScovBendiocarb2011","histIRScovBendiocarb2012","histIRScovBendiocarb2013","histIRScovActellicEC2013","histIRScovActellicCS2014","histIRScovActellicEC2014","histIRScovActellicCS2015","histIRScovActellicCS2016","histIRScovActellicCS2017","histIRScovActellicCS2018","histIRScovActellicCS2019","histIRSmonthBendiocarb2008","histIRSmonthBendiocarb2009","histIRSmonthBendiocarb2010","histIRSmonthBendiocarb2011","histIRSmonthBendiocarb2012","histIRSmonthBendiocarb2013","histIRSmonthActellicEC2013","histIRSmonthActellicCS2014","histIRSmonthActellicEC2014","histIRSmonthActellicCS2015","histIRSmonthActellicCS2016","histIRSmonthActellicCS2017","histIRSmonthActellicCS2018","histIRSmonthActellicCS2019","histIRSmonthBendiocarbbis2010","histcovSMC2019"
"Plateau",0,0.227894818,0.2356030912,0.2433113644,0.2510196376,0.2587279108,0.266436184,0.266201469833333,0.265966755666667,0.2657320415,0.265497327333333,0.265262613166667,0.265027899,0.286439591,0.307851283,0.2871768485,0.266502414,0.2458279795,0.225153545,2.27034324020145,2.0341783906202,2.80386102546297,4.18017594782418,5.28662573451029,5.53411683292386,5.2010318684073,4.22579220223428,3.64563235388499,3.96940806209707,3.8507608431689,3.11458362993631,0.0740741466621979,0.0399538355404915,0.0164636650717025,0.0160625696001376,0.0335812873344639,0.0321680769881717,0.0343882953603287,0.152696933218454,0.110550119794441,0.104464458677685,0.253382804464285,0.65018330233181,0.553624923119965,0.17600733152793,0.16671809154537,0.19939976523807,0.117398028558401,0.539593435882265,0.599475779713094,0.424184941070775,0.676,0.656,0.745,0.635853751386364,0.517151533539237,0.697418233411574,0.700755983406569,0.569937710779188,0.533536847525179,"plateau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.boukoumbe",NA,NA,NA,0.727637836822071,0.840799989580246,0.854895546441844,NA,0.868878591499756,NA,0.887927646784875,0.803726283001041,NA,NA,NA,NA,NA,NA,5,5,5,NA,5,NA,5,5,NA,NA,NA,NA,0
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.kobli",NA,NA,NA,0.727637836822071,0.57364124873193,NA,0.643398932931549,NA,0.683658835915707,0.617049695829056,0.507180333385732,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,5,5,NA,NA,NA,NA,0
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.koutou",NA,NA,NA,0.9,0.9,NA,0.9,NA,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,5,5,NA,NA,NA,NA,0
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.materi",NA,NA,NA,0.727637836822071,0.77833884504475,NA,0.803969262092016,NA,0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,5,5,NA,NA,NA,NA,0.8
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.natitingou",NA,NA,NA,0.727637836822071,0.9,0.9,NA,0.9,NA,0.841205637416191,0.808177937776191,NA,NA,NA,NA,NA,NA,5,5,5,NA,5,NA,5,5,NA,NA,NA,NA,0
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.tanguieta",NA,NA,NA,0.727637836822071,0.588561683929202,NA,0.612645969809171,NA,0.543547334667948,0.474557634727492,0.596085348591255,NA,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,5,5,NA,NA,NA,NA,0.8
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.kerou",NA,NA,NA,NA,0.9,0.9,NA,0.9,NA,0.9,0.9,0.9,0.9,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,5,5,5,NA,NA,0
"Atacora",0,0.251896286,0.2482998964,0.2447035068,0.2411071172,0.2375107276,0.233914338,0.249615002333333,0.265315666666667,0.281016331,0.296716995333333,0.312417659666667,0.328118324,0.3340185895,0.339918855,0.3167366385,0.293554422,0.2703722055,0.247189989,6.69274946727735,6.68719801929462,6.51056798329493,7.39864979836208,10.7205266174465,14.2821204877339,16.9215440311247,16.6948436613007,16.7983265023891,15.8234262070442,10.9138884167183,7.67136484451534,0.041758647170358,0.0270215300222301,0.0159569417563963,0.0152150498035678,0.0215776785981398,0.0215726526706147,0.0467015595086026,0.242331393307667,0.185626152562185,0.168129025998157,0.341875988975004,0.708637739637968,0.575379887611613,0.209465371404161,0.332246092670645,0.500983307217459,0.272061104456666,0.593514982491912,0.485962384658104,0.247955561734858,0.657,0.651,0.676,0.61798212227935,0.502616209371714,0.692102545656913,0.635853751386364,0.517151533539237,0.529470255699529,"atacora.pehonko",NA,NA,NA,NA,0.737070768846337,0.763858156961775,NA,0.9,NA,0.882414590921889,0.837680478151129,0.794290037004354,0.83284530665258,NA,NA,NA,NA,NA,5,5,NA,5,NA,5,5,5,5,NA,NA,0
"Oueme",0,0.209652966,0.2288517098,0.2480504536,0.2672491974,0.2864479412,0.305646685,0.306868792333333,0.308090899666667,0.309313007,0.310535114333333,0.311757221666667,0.312979329,0.293425099,0.273870869,0.27701130325,0.2801517375,0.28329217175,0.286432606,2.19787053018861,2.42089383487086,3.51887177505346,5.23376616680147,6.51475835017943,7.08363218786976,6.4815124107054,4.3936050177457,3.18156537284565,3.38793206209841,3.56537211044976,2.94012128003611,0.0834879964676047,0.046710011211627,0.0183576620549428,0.0178014248742282,0.0361076966838867,0.0350792464092197,0.0395866724063062,0.176994004333364,0.128759326359843,0.0975651374771477,0.179341753700279,0.543752172959032,0.502444095980239,0.164814506571455,0.157156285175508,0.183381058041171,0.100241147403841,0.528778136598453,0.632718680535986,0.489513940094929,0.595,0.656,0.644,0.559664174666992,0.455185151561902,0.697418233411574,0.60575416552192,0.492670987572882,0.533536847525179,"oueme.irs",0.9,0.9,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0
