name;pop2013;pop2014;pop2015;pop2016;pop2017;pop2018;pop2019;pop2020;pop2021;pop2022;pop2023;pop2024;pop2025;pop2026;pop2027;pop2012;pop2011;pop2010;pop2009;pop2008;pop2007;pop2006;pop2005;pop2004;pop2003;pop2002;pop2001;pop2000
gogounou;117793;121927.5343;126207.1908;130637.0631;135222.4241;139968.7312;144881.6336;149966.979;155230.8199;160679.4217;166319.2694;172157.0758;178199.7891;184454.6017;190928.9582;113798.6668;109939.7805;106211.7481;102610.1325;99130.64679;95769.14964;92521.64007;89384.2528;86353.25359;83425.03487;80596.11136;77863.11599;75222.79586
grand-popo;57490;59507.899;61596.62625;63758.66784;65996.59708;68313.07763;70710.86666;73192.81808;75761.88599;78421.12819;81173.70979;84022.90701;86972.11104;90024.83214;93184.70375;55540.52749;53657.16113;51837.65929;50079.85633;48381.66006;46741.04923;45156.07114;43624.83928;42145.53114;40716.38599;39335.70282;38001.8383;36713.20481
houeyogbe;100879;104419.8529;108084.9897;111878.7729;115805.7178;119870.4985;124077.953;128433.0891;132941.0906;137607.3229;142437.3399;147436.8905;152611.9254;157968.604;163513.302;97458.2166;94153.43116;90960.71023;87876.25373;84896.39042;82017.57359;79236.37677;76549.48968;73953.71431;71445.96107;69023.24517;66682.68299;64421.48874
ifangni;113749;117741.5899;121874.3197;126152.1083;130580.0473;135163.407;139907.6426;144818.4008;149901.5267;155163.0703;160609.2941;166246.6803;172081.9388;178122.0148;184374.0975;109891.7979;106165.3926;102565.3489;99087.38177;95727.35172;92481.25951;89345.24154;86315.5652;83388.62448;80560.93564;77829.13307;75189.96529;72640.29107
kalale;168520;174435.052;180557.7223;186895.2984;193455.3234;200245.6052;207274.2259;214549.5513;222080.2405;229875.257;237943.8785;246295.7086;254940.688;263889.1061;273151.6138;162805.526;157284.8286;151951.3366;146798.7022;141820.7924;137011.6823;132365.6481;127877.1598;123540.8751;119351.6327;115304.4467;111394.4997;107617.1382
kandi;177683;183919.6733;190375.2538;197057.4252;203974.1409;211133.6332;218544.4237;226215.333;234155.4912;242374.3489;250881.6886;259687.6359;268802.6719;278237.6457;288003.787;171657.8108;165836.9344;160213.4426;154780.6421;149532.0665;144461.469;139562.8142;134830.2717;130258.2085;125841.183;121573.9378;117451.3939;113468.6445
karimama;66675;69015.2925;71437.72927;73945.19356;76540.66986;79227.24737;82008.12375;84886.6089;87866.12887;90950.22999;94142.58306;97446.98773;100867.377;104407.8219;108072.5365;64414.06627;62229.80028;60119.60225;58080.96053;56111.44868;54208.72252;52370.51736;50594.64531;48878.99267;47221.51741;45620.24675;44073.2748;42578.76031
kerou;98315;101765.8565;105337.8381;109035.1962;112862.3316;116823.7994;120924.3148;125168.7582;129562.1816;134109.8142;138817.0687;143689.5478;148733.0509;153953.581;159357.3517;94981.16124;91760.37218;88648.79932;85642.73918;82738.61383;79932.9667;77222.45841;74603.86282;72074.06321;69630.0485;67268.90977;64987.8367;62784.11429
ketou;156497;161990.0447;167675.8953;173561.3192;179653.3215;185959.1531;192486.3194;199242.5892;206236.004;213474.8878;220967.8563;228723.8281;236752.0345;245062.0309;253663.7082;151190.2232;146063.3979;141110.4221;136325.4005;131702.6379;127236.6321;122922.0676;118753.8089;114726.8949;110836.5326;107078.0916;103447.0984;99939.23139
klouekanme;128537;133048.6487;137718.6563;142552.5811;147556.1767;152735.3985;158096.411;163645.595;169389.5554;175335.1288;181489.3918;187859.6695;194453.5439;201278.8633;208343.7514;124178.3403;119967.4817;115899.4123;111969.2902;108172.4376;104504.3355;100960.6178;97537.06673;94229.60751;91034.30346;87947.35142;84965.07721;82083.93123
kouande;112014;115945.6914;120015.3852;124227.9252;128588.3254;133101.7756;137773.6479;142609.5029;147615.0965;152796.3864;158159.5395;163710.9394;169457.1934;175405.1408;181561.8613;108215.6313;104546.0645;101000.9318;97576.01369;94267.23379;91070.65384;87982.46917;84999.00412;82116.70768;79332.14924;76642.01453;74043.10167;71532.31733
kpomasse;67722;70099.0422;72559.51858;75106.35768;77742.59084;80471.35578;83295.90036;86219.58647;89245.89395;92378.42483;95620.90754;98977.2014;102451.3012;106047.3418;109769.6035;65425.56275;63206.99715;61063.66259;58993.00801;56992.56884;55059.9641;53192.89354;51389.1349;49646.5413;47963.03865;46336.62317;44765.35907;43247.37617
lalo;119080;123259.708;127586.1238;132064.3967;136699.857;141498.022;146464.6026;151605.5101;156926.8635;162434.9964;168136.4648;174038.0547;180146.7904;186469.9428;193015.0378;115042.0249;111140.9766;107372.212;103731.2453;100213.7429;96815.51823;93532.52655;90360.86035;87296.74461;84336.53233;81476.70015;78713.84422;76044.67609
lokossa;104428;108093.4228;111887.5019;115814.7533;119879.8511;124087.6339;128443.1098;132951.463;137618.0593;142448.4532;147448.3939;152623.8325;157980.9291;163526.0597;169265.8244;100886.8708;97465.82053;94160.77725;90967.80722;87883.11006;84903.01425;82023.97281;79242.55899;76555.46226;73959.48436;71451.53547;69028.63054;66687.88575
malanville;168006;173903.0106;180007.0063;186325.2522;192865.2685;199634.8395;206642.0223;213895.1573;221402.8773;229174.1183;237218.1299;245544.4862;254163.0977;263084.2224;272318.4787;162308.9557;156805.0968;151487.8724;146350.954;141388.2272;136593.7853;131961.9219;127487.1238;123164.0651;118987.6004;114952.7585;111054.7373;107288.897
materi;111003;114899.2053;118932.1674;123106.6865;127427.7312;131900.4445;136530.1501;141322.3584;146282.7732;151417.2985;156732.0457;162233.3405;167927.7308;173821.9941;179923.1461;107238.9141;103602.4675;100089.332;96695.32601;93416.41002;90248.68131;87188.36953;84231.83222;81375.5504;78616.12444;75950.26996;73374.81399;70886.69113
natitingou;104010;107660.751;111439.6434;115351.1748;119400.0011;123590.9411;127928.9832;132419.2905;137067.2076;141878.2665;146858.1937;152012.9163;157348.5697;162871.5044;168588.2943;100483.0451;97075.68845;93783.87446;90603.68511;87531.33524;84563.16805;81695.65071;78925.37021;76249.02928;73663.44245;71165.53227;68752.32564;66420.95029
n'dali;114659;118683.5309;122849.3228;127161.3341;131624.6969;136244.7238;141026.9136;145976.9582;151100.7495;156404.3858;161894.1797;167576.6654;173458.6064;179547.0034;185849.1033;110770.94;107014.7232;103385.8789;99880.08779;96493.17727;93221.11609;90060.00975;87006.09579;84055.73934;81205.42879;78451.7716;75791.4903;73221.41851
nikki;150466;155747.3566;161214.0888;166872.7033;172729.9352;178792.7559;185068.3817;191564.2819;198288.1882;205248.1036;212452.312;219909.3882;227628.2077;235617.9578;243888.1481;145363.733;140434.4826;135672.382;131071.7631;126627.1502;122333.253;118184.9609;114177.3364;110305.6095;106565.1719;102951.5718;99460.50793;96087.82526
ouake;74023;76621.2073;79310.61168;82094.41415;84975.92808;87958.58316;91045.92943;94241.64155;97549.52317;100973.5114;104517.6817;108186.2523;111983.5898;115914.2138;119982.8027;71512.8973;69087.91161;66745.15661;64481.84389;62295.27958;60182.86115;58142.07434;56170.49014;54265.76189;52425.62254;50647.88189;48930.42401;47271.20472
ouesse;141760;146735.776;151886.2017;157217.4074;162735.7384;168447.7628;174360.2793;180480.3251;186815.1845;193372.3975;200159.7687;207185.3765;214457.5833;221985.0444;229776.7195;136952.9514;132308.9087;127822.3444;123487.9185;119300.4719;115255.0207;111346.7498;107571.0074;103923.2996;100399.2847;96994.76834;93705.69833;90528.15991
ouidah;161544;167214.1944;173083.4126;179158.6404;185447.1087;191956.3022;198693.9684;205668.1267;212887.0779;220359.4144;228094.0298;236100.1303;244387.2448;252965.2371;261844.317;156066.0806;150773.9161;145661.2077;140721.8701;135950.0242;131339.9906;126886.2821;122583.5978;118426.8165;114410.9907;110531.3407;106783.2487;103162.2536
ouinhi;59853;61953.8403;64128.42009;66379.32764;68709.24204;71120.93644;73617.2813;76201.24788;78875.91168;81644.45618;84510.17659;87476.48379;90546.90837;93725.10485;97014.85603;57823.39871;55862.62072;53968.33226;52138.27867;50370.28178;48662.23726;47012.11212;45417.94234;43877.83049;42389.94348;40952.51036;39563.82027;38222.22034
parakou;254254;263178.3154;272415.8743;281977.6715;291875.0877;302119.9033;312724.3119;323700.9353;335062.8381;346823.5437;358997.0501;371597.8465;384640.931;398141.8276;412116.6058;245632.3061;237302.9717;229256.0832;221482.0628;213971.6576;206715.9285;199706.2395;192934.2475;186391.892;180071.3864;173965.2076;168066.0879;162367.006
pehonko;78173;80916.8723;83757.05452;86696.92713;89739.98927;92889.8629;96150.29708;99525.17251;103018.5061;106634.4556;110377.325;114251.5691;118261.7992;122412.7884;126709.4772;75522.17177;72961.23251;70487.1341;68096.9318;65787.78069;63556.93237;61401.73159;59319.61317;57308.0989;55364.79461;53487.38731;51673.64246;49921.40128
perere;79240;82021.324;84900.27247;87880.27204;90964.86958;94157.73651;97462.67306;100883.6129;104424.6277;108089.9321;111883.8887;115811.0132;119875.9798;124083.6267;128438.962;76552.99005;73957.09598;71449.22807;69026.40139;66685.73219;64424.43453;62239.81696;60129.27926;58090.3094;56120.48053;54217.4481;52378.94706;50602.78916
pobe;123740;128083.274;132578.9969;137232.5197;142049.3812;147035.3144;152196.254;157538.3425;163067.9383;168791.6229;174716.2089;180848.7478;187196.5389;193767.1374;200568.3639;119544.0054;115490.296;111574.047;107790.597;104135.443;100604.2343;97192.76818;93896.98404;90712.95917;87636.90385;84665.15684;81794.18109;79020.55945
porto-novo;263616;272868.9216;282446.6207;292360.4971;302622.3506;313244.3951;324239.2734;335620.0719;347400.3364;359594.0882;372215.8407;385280.6167;398803.9663;412801.9855;427291.3352;254676.8428;246040.8104;237697.6238;229637.3527;221850.4035;214327.508;207059.7121;200038.3655;193255.1111;186701.8753;180370.8581;174254.5243;168345.594
sakete;114207;118215.6657;122365.0356;126660.0483;131105.816;135707.6302;140470.968;145401.4989;150505.0916;155787.8203;161255.9728;166916.0574;172774.811;178839.2069;185116.4631;110334.2672;106592.8579;102978.3189;99486.3481;96112.7892;92853.62689;89704.98202;86663.10697;83724.38119;80885.30692;78142.50499;75492.71084;72932.77059
savalou;144814;149896.9714;155158.3551;160604.4134;166241.6283;172076.7094;178116.6019;184368.4946;190839.8288;197538.3068;204471.9014;211648.8651;219077.7403;226767.369;234726.9036;139903.391;135159.2996;130576.0792;126148.2747;121870.6161;117738.0119;113745.5433;109888.4584;106162.1664;102562.232;99084.37064;95724.4427;92478.44914
save;87379;90446.0029;93620.6576;96906.74268;100308.1694;103828.9861;107473.3835;111245.6993;115150.4233;119192.2032;123375.8495;127706.3418;132188.8344;136828.6625;141631.3486;84415.99845;81553.4716;78788.01237;76116.32921;73535.24221;71041.67927;68632.67246;66305.35452;64056.95539;61884.79894;59786.29982;57758.96031;55800.36742
segbana;89268;92401.3068;95644.59267;99001.71787;102476.6782;106073.6096;109796.7933;113650.6607;117639.7989;121768.9558;126043.0462;130467.1571;135046.5543;139786.6884;144693.2012;86240.9429;83316.53261;80491.28839;77761.84754;75124.96139;72577.49144;70116.40561;67738.77462;65441.76854;63222.65341;61078.78795;59007.62047;57006.6858
seme;224207;232076.6657;240222.5567;248654.3684;257382.1367;266416.2497;275767.4601;285446.898;295466.0841;305836.9436;316571.8203;327683.4912;339185.1818;351090.5817;363413.8611;216604.1928;209259.1951;202163.2645;195307.9553;188685.108;182286.8399;176105.5356;170133.8379;164364.6391;158791.0724;153406.5041;148204.5253;143178.9443
sinende;88383;91485.2433;94696.37534;98020.21811;101460.7278;105021.9993;108708.2715;112523.9318;116473.5218;120561.7424;124793.4596;129173.71;133707.7073;138400.8478;143258.7175;85385.95305;82490.53526;79693.30042;76990.91915;74380.17501;71857.96059;69421.27388;67067.21465;64792.98101;62595.86611;60473.25487;58422.62087;56441.5234
so-ava;118497;122656.2447;126961.4789;131417.8268;136030.5925;140805.2663;145747.5312;150863.2695;156158.5703;161639.7361;167313.2908;173185.9873;179264.8155;185557.0105;192070.0616;114478.7943;110596.8451;106846.5318;103223.3908;99723.10963;96341.5222;93074.60361;89918.46547;86869.35125;83923.63177;81077.80096;78328.4716;75672.37137
tanguieta;73731;76318.9581;78997.75353;81770.57468;84640.72185;87611.61119;90686.77874;93869.88467;97164.71762;100575.1992;104105.3887;107759.4878;111541.8459;115456.9647;119509.5041;71230.79896;68815.37915;66481.86566;64227.48108;62049.54215;59945.45662;57912.72014;55948.91329;54051.69866;52218.81815;50448.09018;48737.40719;47084.73306
tchaourou;221108;228868.8908;236902.1889;245217.4557;253824.5884;262733.8314;271955.7889;281501.4371;291382.1376;301609.6506;312196.1493;323154.2342;334496.9478;346237.7907;358390.7371;213610.2792;206366.8044;199368.9541;192608.3993;186077.0933;179767.2624;173671.3964;167782.2398;162092.7831;156596.2545;151286.112;146156.0352;141199.918
toffo;100920;104462.292;108128.9184;111924.2435;115852.7844;119919.2172;124128.3817;128485.2879;132995.1215;137663.2503;142495.2303;147496.8129;152673.9511;158032.8067;163579.7583;97497.8263;94191.69771;90997.67917;87911.96905;84930.89465;82050.90779;79268.58061;76580.6015;73983.77113;71474.99868;69051.29811;66709.78467;64447.6714
tori-bossito;57445;59461.3195;61548.41181;63708.76107;65944.93858;68259.60593;70655.51809;73135.52678;75702.58377;78359.74446;81110.17149;83957.13851;86904.03407;89954.36567;93111.7639;55497.05342;53615.16126;51797.08363;50040.65658;48343.78957;46704.46292;45120.72546;43590.69216;42112.54194;40684.51545;39304.913;37972.09255;36684.46774
toukountouna;39989;41392.6139;42845.49465;44349.37151;45906.03445;47517.33626;49185.19476;50911.5951;52698.59209;54548.31267;56462.95844;58444.80828;60496.22106;62619.63841;64817.58772;38632.98232;37322.94688;36057.33445;34834.63863;33653.40414;32512.22505;31409.74306;30344.64599;29315.66611;28321.5787;27361.20056;26433.38862;25537.03856
toviklin;87635;90710.9885;93894.9442;97190.65674;100602.0488;104133.1807;107788.2553;111571.6231;115487.7871;119541.4084;123737.3118;128080.4915;132576.1167;137229.5384;142046.2952;84663.31755;81792.40417;79018.84279;76339.33222;73750.68324;71249.81475;68833.75012;66499.61368;64244.62726;62066.10691;59961.45967;57928.18054;55963.84942
zangnanado;54914;56841.4814;58836.6174;60901.78267;63039.43524;65252.11942;67542.46881;69913.20946;72367.16312;74907.25054;77536.49503;80258.02601;83075.08272;85991.01813;89009.30286;53051.87905;51252.90218;49514.9282;47835.88851;46213.78467;44646.68599;43132.72727;41670.10653;40257.08292;38891.97461;37573.1568;36299.0598;35068.16714
za-kpota;132401;137048.2751;141858.6696;146837.9089;151991.9195;157326.8358;162849.0078;168565.0079;174481.6397;180605.9453;186945.214;193506.991;200299.0863;207329.5843;214606.8527;127911.3129;123573.8701;119383.5089;115335.2419;111424.2507;107645.8803;103995.6336;100469.1659;97062.27984;93770.92053;90591.17045;87519.24495;84551.48773
ze;106962;110716.3662;114602.5107;118625.0588;122788.7983;127098.6852;131559.849;136177.5997;140957.4335;145905.0394;151026.3063;156327.3296;161814.4189;167494.105;173373.1481;103334.9435;99830.87961;96445.63773;93175.18861;90015.63965;86963.23027;84014.32738;81165.4211;78413.12057;75754.14991;73185.34432;70703.64633;68306.10215
zogbodome;94262;97570.5962;100995.3241;104540.26;108209.6231;112007.7809;115939.254;120008.7218;124221.028;128581.186;133094.3857;137765.9986;142601.5852;147606.9008;152787.903;91065.59753;87977.58432;84994.28492;82112.1485;79327.74467;76637.75931;74038.99074;71528.3458;69102.83625;66759.57516;64495.77351;62308.73685;60195.86209
